============================================================
Ashes of Creation PCAP Organizer
============================================================
Root: C:\Users\daand\Documents\pcaps\PCAPRepo
Mode: DRY RUN
============================================================
Reorganizing: C:\Users\daand\Documents\pcaps\PCAPRepo
Found 1859 files
adventures\adventures_axe.pcap -> economy\adventures_axe.pcap
adventures\adventures_axe_1.pcap -> economy\adventures_axe_1.pcap
arcane\arcane_amplifier.pcap -> combat_pve\arcane_amplifier.pcap
ashesfinalui\ashesfinalui.pcapng -> generic\ashesfinalui.pcapng
barrier\barrier.pcap -> combat_pve\barrier.pcap
binding\binding_chains.pcap -> combat_pve\binding_chains.pcap
catalytic\catalytic_projectiles.pcap -> combat_pve\catalytic_projectiles.pcap
chains\chains_of_restraint.pcap -> combat_pve\chains_of_restraint.pcap
chance\chance_1.pcap -> combat_pve\chance_1.pcap
chance\chance_2.pcap -> combat_pve\chance_2.pcap
chance\chance_3.pcap -> combat_pve\chance_3.pcap
communal\communal_restoration.pcap -> combat_pve\communal_restoration.pcap
condemn\condemn_incapacitated.pcap -> combat_pve\condemn_incapacitated.pcap
condemn\condemn_stunned.pcap -> combat_pve\condemn_stunned.pcap
consecrating\consecrating_wave.pcap -> combat_pve\consecrating_wave.pcap
coveglass\coveglass_yellow_value3.pcap -> world_gathering\coveglass_yellow_value3.pcap
crude\crude_axe.pcap -> economy\crude_axe.pcap
crude\crude_axe_1.pcap -> economy\crude_axe_1.pcap
crude\crude_herbalism_sickle.pcap -> economy\crude_herbalism_sickle.pcap
crude\crude_herbalism_sickle_1.pcap -> economy\crude_herbalism_sickle_1.pcap
crude\crude_hunting_bow.pcap -> economy\crude_hunting_bow.pcap
crude\crude_hunting_bow_1.pcap -> economy\crude_hunting_bow_1.pcap
crude\crude_lumberjacking_axe.pcap -> economy\crude_lumberjacking_axe.pcap
crude\crude_lumberjacking_axe_1.pcap -> economy\crude_lumberjacking_axe_1.pcap
crude\crude_mining_pickaxe.pcap -> economy\crude_mining_pickaxe.pcap
crude\crude_mining_pickaxe_1.pcap -> economy\crude_mining_pickaxe_1.pcap
deadly\deadly_finisher_fullskilled_tree.pcap -> combat_pve\deadly_finisher_fullskilled_tree.pcap
defiant\defiant_light.pcap -> combat_pve\defiant_light.pcap
deliverance\deliverance_0_delay.pcap -> combat_pve\deliverance_0_delay.pcap
deliverance\deliverance_0_delay_2.pcap -> combat_pve\deliverance_0_delay_2.pcap
deliverance\deliverance_100_delay.pcap -> combat_pve\deliverance_100_delay.pcap
deliverance\deliverance_100_delay_2.pcap -> combat_pve\deliverance_100_delay_2.pcap
deliverance\deliverance_50_delay.pcap -> combat_pve\deliverance_50_delay.pcap
deliverance\deliverance_50_delay_1.pcap -> combat_pve\deliverance_50_delay_1.pcap
desktop\desktop.pcap -> generic\desktop.pcap
divine\divine_flare.pcap -> combat_pve\divine_flare.pcap
divine\divine_infusion_judgement_100_divine_power.pcap -> combat_pve\divine_infusion_judgement_100_divine_power.pcap
divine\divine_infusion_judgement_100_divine_power_1.pcap -> combat_pve\divine_infusion_judgement_100_divine_power_1.pcap
divine\divine_infusion_judgement_50_divine_power.pcap -> combat_pve\divine_infusion_judgement_50_divine_power.pcap
divine\divine_infusion_judgement_50_divine_power_1.pcap -> combat_pve\divine_infusion_judgement_50_divine_power_1.pcap
divine\divine_protectiojn.pcap -> combat_pve\divine_protectiojn.pcap
divine\divine_retribution.pcap -> combat_pve\divine_retribution.pcap
dull\dull_focus.pcap -> economy\dull_focus.pcap
dull\dull_focus_1.pcap -> economy\dull_focus_1.pcap
dull\dull_glint.pcap -> economy\dull_glint.pcap
dull\dull_glint_1.pcap -> economy\dull_glint_1.pcap
duration\duration_1.pcap -> combat_pve\duration_1.pcap
duration\duration_2.pcap -> combat_pve\duration_2.pcap
duration\duration_3.pcap -> combat_pve\duration_3.pcap
elemental\elemental_lure_1.pcap -> combat_pve\elemental_lure_1.pcap
elemental\elemental_lure_1_1.pcap -> combat_pve\elemental_lure_1_1.pcap
elemental\elemental_lure_2.pcap -> combat_pve\elemental_lure_2.pcap
elemental\elemental_lure_2_1.pcap -> combat_pve\elemental_lure_2_1.pcap
elemental\elemental_lure_3.pcap -> combat_pve\elemental_lure_3.pcap
elemental\elemental_lure_3_2.pcap -> combat_pve\elemental_lure_3_2.pcap
escalating\escalating_mend.pcap -> combat_pve\escalating_mend.pcap
escalating\escalating_mend_1.pcap -> combat_pve\escalating_mend_1.pcap
escape\escape_velocity_i.pcap -> generic\movement\escape_velocity_i.pcap
escape\escape_velocity_ii.pcap -> generic\movement\escape_velocity_ii.pcap
escape\escape_velocity_iii.pcap -> generic\movement\escape_velocity_iii.pcap
essence\essence_harvest_stack5.pcap -> combat_pve\essence_harvest_stack5.pcap
essence\essence_infusion_deliverance.pcap -> combat_pve\essence_infusion_deliverance.pcap
essence\essence_infusion_deliverance_2.pcap -> combat_pve\essence_infusion_deliverance_2.pcap
essence\essence_infusion_soothing_glow.pcap -> combat_pve\essence_infusion_soothing_glow.pcap
essence\essence_infusion_soothing_glow_1.pcap -> combat_pve\essence_infusion_soothing_glow_1.pcap
essense\essense_infusion_flash_cure_3_charges.pcap -> combat_pve\essense_infusion_flash_cure_3_charges.pcap
essense\essense_infusion_flash_cure_3_charges_2.pcap -> combat_pve\essense_infusion_flash_cure_3_charges_2.pcap
essense\essense_infusion_judgement_100_divine_power.pcap -> combat_pve\essense_infusion_judgement_100_divine_power.pcap
essense\essense_infusion_judgement_100_divine_power_2.pcap -> combat_pve\essense_infusion_judgement_100_divine_power_2.pcap
evasive\evasive_maneuver.pcap -> combat_pve\evasive_maneuver.pcap
ext\ext_finish_dmg_1.pcap -> combat_pve\ext_finish_dmg_1.pcap
ext\ext_finish_dmg_2.pcap -> combat_pve\ext_finish_dmg_2.pcap
ext\ext_finish_dmg_3.pcap -> combat_pve\ext_finish_dmg_3.pcap
extra\extra_stack_1.pcap -> combat_pve\extra_stack_1.pcap
extra\extra_stack_2.pcap -> combat_pve\extra_stack_2.pcap
extra\extra_stack_3.pcap -> combat_pve\extra_stack_3.pcap
flash\flash_cure_1_charges.pcap -> combat_pve\flash_cure_1_charges.pcap
flash\flash_cure_1_charges_1.pcap -> combat_pve\flash_cure_1_charges_1.pcap
flash\flash_cure_2_charges.pcap -> combat_pve\flash_cure_2_charges.pcap
flash\flash_cure_2_charges_1.pcap -> combat_pve\flash_cure_2_charges_1.pcap
flash\flash_cure_3_charges_pcap.pcap -> combat_pve\flash_cure_3_charges_pcap.pcap
flash\flash_cure_3_charges_pcap_1.pcap -> combat_pve\flash_cure_3_charges_pcap_1.pcap
focused\focused_sprint.pcap -> combat_pve\focused_sprint.pcap
focused\focused_training_i.pcap -> combat_pve\focused_training_i.pcap
focused\focused_training_ii.pcap -> combat_pve\focused_training_ii.pcap
graceful\graceful_reflexes.pcap -> combat_pve\graceful_reflexes.pcap
graceful\graceful_training_i.pcap -> combat_pve\graceful_training_i.pcap
graceful\graceful_training_ii.pcap -> combat_pve\graceful_training_ii.pcap
healing\healing_touch.pcap -> combat_pve\healing_touch.pcap
healing\healing_touch_1.pcap -> combat_pve\healing_touch_1.pcap
iron\iron_reprieve.pcap -> combat_pve\iron_reprieve.pcap
judgement\judgement_divine_infusion_0_divine_power.pcap -> combat_pve\judgement_divine_infusion_0_divine_power.pcap
judgement\judgement_divine_infusion_0_divine_power_2.pcap -> combat_pve\judgement_divine_infusion_0_divine_power_2.pcap
mend\mend.pcap -> combat_pve\mend.pcap
mend\mend_1.pcap -> combat_pve\mend_1.pcap
musty\musty_spellbook.pcap -> economy\musty_spellbook.pcap
musty\musty_spellbook_1.pcap -> economy\musty_spellbook_1.pcap
plentiful\plentiful_mend.pcap -> combat_pve\plentiful_mend.pcap
plentiful\plentiful_mend_1.pcap -> combat_pve\plentiful_mend_1.pcap
plentiful\plentiful_mend_escalating_mend.pcap -> combat_pve\plentiful_mend_escalating_mend.pcap
plentiful\plentiful_mend_escalating_mend_1.pcap -> combat_pve\plentiful_mend_escalating_mend_1.pcap
purify\purify.pcap -> combat_pve\purify.pcap
recuperation\recuperation.pcap -> combat_pve\recuperation.pcap
recuperation\recuperation_training_i.pcap -> combat_pve\recuperation_training_i.pcap
recuperation\recuperation_training_ii.pcap -> combat_pve\recuperation_training_ii.pcap
redemptive\redemptive_deliverance_10_hp_pcap.pcap -> combat_pve\redemptive_deliverance_10_hp_pcap.pcap
redemptive\redemptive_deliverance_10_hp_pcap_1.pcap -> combat_pve\redemptive_deliverance_10_hp_pcap_1.pcap
